"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21"
"36" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"37" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"38" -0.37408700846216 0.124194113036409 -0.197499005650505 0.10160280269963 0.475233753131247 -0.120304556522008 -0.00480399382206259 -0.00200568935441736 -0.00185529604637786 4.28299341061185e-05 -0.000432579688021188 -4.61038863612321e-05 -4.37897929914345e-07 -5.61265202725411e-07 4.80904764655408e-07 -1.04085031523022e-05 -2.07863977735331e-05 -7.11200503050787e-06 5.25507566866847e-06 -4.89227143985396e-06 -8.03009397752683e-07
"39" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"40" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"41" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"42" 0.181608146079864 -0.473128935289502 -0.11610993249226 0.0800723690411032 0.543854862412239 -0.209855641820952 0.00258205530939013 -0.00158283455732072 -0.00931836840058588 -6.36703380352992e-05 0.00184920876437105 8.44294527851975e-06 1.07107937597724e-06 1.52821451292012e-07 7.24522163274053e-06 2.60969768258988e-05 4.04152870458165e-05 1.41638197035357e-06 2.3784264664478e-06 3.70232069999868e-06 1.819830936159e-06
"43" -0.107781371501284 -0.0932005044357491 -0.00793603224202008 0.0363410552598105 0.682451190987229 -0.50603999715907 -0.00227651527257801 -0.00291623115190771 0.00106589905805423 0.000450258159499439 -0.000474226865365496 5.54329577619151e-05 -3.28685231355075e-05 -5.38732389153911e-05 1.44480573997169e-05 0.000417390376426755 -0.00010282248564408 3.81813062306843e-05 -2.85073666723699e-05 8.62605942909589e-06 4.68020501122307e-07
"44" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"45" -0.174154043715842 -0.324469774053272 -0.16257003564516 0.103344539306337 0.59761540140036 -0.0192021431685912 -0.0145103938407129 -0.00385394256181755 -0.00402251463724623 -0.00109637553356246 0.00310478945935966 -8.31965481951067e-05 1.57994433605491e-06 2.16616128011917e-06 -4.03357465975799e-06 -3.90130157304415e-05 -4.13464426482424e-05 9.6580037908906e-07 -1.80430850011927e-05 -2.21766900582719e-06 -2.36858060309942e-06
